,bid_size_0,bid_price_0,bid_size_1,bid_price_1,bid_size_2,bid_price_2,bid_size_3,bid_price_3,bid_size_4,bid_price_4,bid_size_5,bid_price_5,bid_size_6,bid_price_6,bid_size_7,bid_price_7,bid_size_8,bid_price_8,bid_size_9,bid_price_9,ask_size_0,ask_price_0,ask_size_1,ask_price_1,ask_size_2,ask_price_2,ask_size_3,ask_price_3,ask_size_4,ask_price_4,ask_size_5,ask_price_5,ask_size_6,ask_price_6,ask_size_7,ask_price_7,ask_size_8,ask_price_8,ask_size_9,ask_price_9
ask_size_0,-0.0959907582941578,-0.12975897989974158,-0.1102926967354297,-0.12990758142092249,-0.02078585385246327,-0.130054067635749,0.05256636017705002,-0.1302068935034313,0.11311058195544782,-0.13038015469576586,0.06850765939214785,-0.13054216994286072,0.07686529097303374,-0.1307062236251182,0.045077879328782,-0.13086717268147718,0.024905587393104816,-0.1310346458604271,0.04592505455463466,-0.13122509991956616,1.0,-0.1240574877108707,0.18188876559988043,-0.12475210289803323,0.024127693567903764,-0.12547147469457248,-0.027802853294233994,-0.1261802978655112,-0.010397198399775145,-0.12688479421741625,-0.04036489548403648,-0.12758320252628694,0.015374099799829342,-0.12829633516783245,0.005112977952982818,-0.12901248258769743,-0.022452831036716896,-0.1297321160793618,-0.0009016368965382923,-0.13044770007766335
ask_price_0,0.18616374527150636,0.9996661376544386,0.21506982291375,0.9996711004963679,-0.004715563915698914,0.9996761731938923,-0.10821147460051685,0.9996821162730632,-0.12839099894974615,0.9996859923017243,-0.1276516956726637,0.9996900457700193,-0.12831097130041227,0.9996949241242385,-0.09895190522871818,0.9996968305051883,-0.07508706622244013,0.9997001499153575,-0.03953009016329534,0.999704993406172,-0.1240574877108707,1.0,-0.12099551730345708,0.9999720615576528,-0.010775508345759098,0.999945007237325,0.026957665453337925,0.9999176669709718,0.03393208234804379,0.9998895128580854,0.04626872500436284,0.9998609345310456,0.07166160297706996,0.9998329800521517,0.07997646192982179,0.9998055327910619,0.08372954754614617,0.9997783540712382,0.05596726219996796,0.9997512677242169
ask_size_1,-0.06910376548858194,-0.12330470801969512,-0.04960744448215333,-0.1233458747154387,0.08126622516264062,-0.1233919525515032,0.1764809447349025,-0.12344482505090665,0.09633493466966905,-0.12347990590397077,0.05650875194008498,-0.12351155162100362,0.07525502889416445,-0.12357403348104597,0.05450148011286933,-0.1236634376832214,0.0836801334298097,-0.12376493065998118,0.035916292230340034,-0.1238202668487432,0.18188876559988043,-0.12099551730345708,1.0,-0.12068272279962773,0.11839056253952454,-0.12097793596573546,0.02577574417440343,-0.12128942726504173,0.008126845509209875,-0.12160687752472789,0.053447932329893665,-0.12191756920028303,0.03108711868349562,-0.12224342949636971,0.045545484171348107,-0.12254897392143262,0.009832139937573507,-0.12284293405884437,0.011765158190750094,-0.12314083403952172
ask_price_1,0.18619124844181903,0.9996541109069146,0.21497512561133097,0.9996589897110093,-0.0048282890977800665,0.9996640737417147,-0.10835191301663416,0.9996700383826946,-0.12859962587863233,0.9996738734157472,-0.12784350494857655,0.999677864673301,-0.12846558574782044,0.9996827581995892,-0.09912701158020061,0.9996847070545306,-0.07526795396600904,0.9996880473339184,-0.03973128179176723,0.9996928646284816,-0.12475210289803323,0.9999720615576528,-0.12068272279962773,1.0,-0.010741518699627781,0.9999729204717234,0.026888955897447938,0.9999455787691991,0.03381331917449933,0.9999175577400298,0.04618226776530052,0.9998894209400554,0.07161652136171319,0.9998615852281629,0.07996791933971034,0.9998341875706149,0.08367564038956862,0.9998069801821038,0.05587269218471981,0.9997798691340731
ask_size_2,0.019405832229736564,-0.00977109420943609,0.10600436751551547,-0.00975244261093614,0.22318076069507461,-0.00973259830702516,0.12542178929528153,-0.009720802422388168,0.01015255104052874,-0.009688107195557516,0.029601458804805896,-0.009647027806471987,0.04179939491998534,-0.009660085038809996,0.06586057919228498,-0.009688787520792821,0.051386473393552866,-0.009684450306742092,-0.001419939722985958,-0.00963558496000435,0.024127693567903764,-0.010775508345759098,0.11839056253952454,-0.010741518699627781,1.0,-0.01068736028951222,0.10023263113223367,-0.010715967757241554,0.05887903619304091,-0.010753944676729495,0.08261104474328544,-0.010778906965683396,0.10510245375681236,-0.010798268644851922,0.08859899612120498,-0.010820833524616554,0.05036422583338679,-0.010840108507655726,0.034119237866610676,-0.010850768553825151
ask_price_2,0.18622382648797658,0.9996441617000839,0.21489680639885583,0.9996490293840992,-0.004909175851312683,0.9996541235738444,-0.10845249742344505,0.9996600769459564,-0.12878134900928226,0.9996638296843254,-0.12800544162530783,0.9996678240773431,-0.12858585650183296,0.9996726992824897,-0.09927366356805437,0.999674654931743,-0.07541796868920544,0.999677980582019,-0.039897336828567394,0.9996827796009647,-0.12547147469457248,0.999945007237325,-0.12097793596573546,0.9999729204717234,-0.01068736028951222,1.0,0.02684266382669792,0.99997268273342,0.033732422096564706,0.9999447038606457,0.046131608324467166,0.9999165841223407,0.07158372415023964,0.9998887549729204,0.07998900367229869,0.9998613643969361,0.08362615357885486,0.9998341569846977,0.055808092095534154,0.9998070495711434
ask_size_3,0.08745432881597062,0.029438681277069445,0.15256457944360416,0.029474726056774238,0.13498170731025863,0.029511133503005434,0.020579172039014725,0.029538070774428243,0.0061229933622464075,0.02957971805000759,-0.0001559248809044893,0.02962604574255445,0.017383781664847064,0.029646804388107507,0.012453410393235413,0.029706193823768844,-0.0398040504655277,0.02980257156208584,-0.04834536008604412,0.029882237401337677,-0.027802853294233994,0.026957665453337925,0.02577574417440343,0.026888955897447938,0.10023263113223367,0.02684266382669792,1.0,0.026776215212110602,0.0903091534410141,0.026914054271065975,0.055430317871733574,0.02705626898118093,0.09688263488328422,0.027225415566660402,0.14150201601114643,0.02739302669394611,0.1289348385592845,0.027558937931244823,0.0734799162447292,0.027718689370035753
ask_price_3,0.18625157278988688,0.9996329865260669,0.21482015083915337,0.9996378212900657,-0.00499714146255702,0.9996429143265684,-0.10857525812915932,0.9996488094206478,-0.12898176708005588,0.9996524830822322,-0.12817399880698474,0.9996565087852729,-0.1287085991807646,0.999661393604593,-0.09943016503377455,0.9996633846417662,-0.07558108339382973,0.9996667242141637,-0.04007361490245643,0.9996715333033561,-0.1261802978655112,0.9999176669709718,-0.12128942726504173,0.9999455787691991,-0.010715967757241554,0.99997268273342,0.026776215212110602,1.0,0.033641511128937214,0.9999724718655394,0.046061071105436044,0.9999443651353337,0.07156987456015586,0.9999166062210946,0.07998030426403463,0.9998892228134667,0.08355685319847357,0.9998620154521491,0.055718099142261994,0.9998349118353551
ask_size_4,0.08835206855149935,0.03634602423527712,0.09536561291969083,0.03638599674117206,0.020388612615389545,0.03642331033529333,-0.021629563065186486,0.03646034707062679,-0.021144181966752933,0.03649206041659861,-0.002717227565301083,0.036512001940748724,0.0064294598819122735,0.03656276247459275,-0.06935898957601797,0.036644852404096206,-0.07956477297922329,0.03674210691002764,-0.0672586084507081,0.036827374922739735,-0.010397198399775145,0.03393208234804379,0.008126845509209875,0.03381331917449933,0.05887903619304091,0.033732422096564706,0.0903091534410141,0.033641511128937214,1.0,0.033533124633210065,0.019371896434044397,0.033760863784149595,0.04741265157169981,0.03402241255681158,0.11065517210120256,0.034289237035561394,0.10515246061080862,0.03455602272114548,0.11577270954246066,0.034816509521710275
ask_price_4,0.1862872680432692,0.999620002680849,0.21473738689263563,0.9996246546255478,-0.005097780726672392,0.9996297032742124,-0.10871252916248025,0.9996355928803571,-0.1291905349128141,0.9996392440419107,-0.12834093939879293,0.9996432793441462,-0.12884780295722506,0.9996481519256668,-0.09959594634882984,0.9996501568325784,-0.07574519100365842,0.9996534887571917,-0.04025923030563679,0.9996582862281307,-0.12688479421741625,0.9998895128580854,-0.12160687752472789,0.9999175577400298,-0.010753944676729495,0.9999447038606457,0.026914054271065975,0.9999724718655394,0.033533124633210065,1.0,0.04598306003594848,0.9999722256923543,0.07152667795737944,0.9999444441221463,0.07997981811522775,0.9999170357061169,0.08348446350520539,0.9998898033149148,0.05561442816571014,0.9998626678079118
ask_size_5,0.061227694689206476,0.04787837573077351,0.06919059588356184,0.04793113771712591,0.04269046209615418,0.04798193875798877,0.0023034573532831563,0.048024603777432125,0.025836716342173292,0.04804196722598708,0.03888754720283651,0.048081188180663634,-0.05388713321303657,0.048131570080282876,-0.06025775143834584,0.048220045173646676,-0.0364933110430695,0.04830653698051385,-0.035850660082843065,0.04838656960945584,-0.04036489548403648,0.04626872500436284,0.053447932329893665,0.04618226776530052,0.08261104474328544,0.046131608324467166,0.055430317871733574,0.046061071105436044,0.019371896434044397,0.04598306003594848,1.0,0.045887852450107146,-0.057984208151448745,0.04603404875967758,0.05556029449435379,0.04621307645739233,0.06022073847379071,0.04639177615982748,0.09556575832112706,0.04657032498329494
ask_price_5,0.18632136200150484,0.99960643036088,0.21465394500593554,0.999611027185646,-0.005217445660010307,0.9996161162715884,-0.10886403679013004,0.9996220210538194,-0.1293984973975551,0.9996256707152184,-0.12852179849381523,0.9996297366499599,-0.12899256662440914,0.9996346178226821,-0.09976347118515128,0.9996366579706016,-0.07591227894945321,0.9996400035745141,-0.04043360701675704,0.9996448105809573,-0.12758320252628694,0.9998609345310456,-0.12191756920028303,0.9998894209400554,-0.010778906965683396,0.9999165841223407,0.02705626898118093,0.9999443651353337,0.033760863784149595,0.9999722256923543,0.045887852450107146,1.0,0.07148202315939899,0.9999724371412676,0.07996438544453327,0.999945049886828,0.08345691932420675,0.9999178279554076,0.05549920199880516,0.9998907103468835
ask_size_6,0.0521514645626673,0.07308931821415793,0.06471691480934431,0.0730999174190383,0.04837865484702071,0.07309429051651102,0.056124112661540104,0.07308809944950005,0.06554154502735339,0.07310043384200203,-0.00023645027100932105,0.07312818981422159,-0.045688530133057084,0.0731215178753493,-0.011225459972998479,0.07314536466060742,-0.041302381744448245,0.07318213590352476,-0.0325927136571991,0.07321771813130767,0.015374099799829342,0.07166160297706996,0.03108711868349562,0.07161652136171319,0.10510245375681236,0.07158372415023964,0.09688263488328422,0.07156987456015586,0.04741265157169981,0.07152667795737944,-0.057984208151448745,0.07148202315939899,1.0,0.07143700081586911,-0.0421542285741975,0.07147054330801038,0.09366868138306209,0.07151388106127395,0.026116025058965067,0.07155701231593138
ask_price_6,0.18634392845397182,0.9995942781079704,0.21456664491489422,0.9995988736261913,-0.005325685334300944,0.9996039859212423,-0.10900475468963254,0.9996098887394271,-0.12960552581410098,0.9996135194647042,-0.12871814263969675,0.999617598567244,-0.12914007027919455,0.999622471047765,-0.0999428031264673,0.9996245286850461,-0.07609145947821781,0.9996278702635049,-0.04061910247207332,0.999632669253854,-0.12829633516783245,0.9998329800521517,-0.12224342949636971,0.9998615852281629,-0.010798268644851922,0.9998887549729204,0.027225415566660402,0.9999166062210946,0.03402241255681158,0.9999444441221463,0.04603404875967758,0.9999724371412676,0.07143700081586911,1.0,0.07994874428786844,0.999972886418506,0.08337978183509956,0.9999456928151746,0.0554039975809024,0.9999186109022846
