(Research) arcwilbo@crc-dot1x-nat-10-239-114-160 Will_Branch % python Models/MLP.py   
Device: mps
[Epoch 009] Train: 0.000057  Val: 0.001817
[Epoch 010] Train: 0.000055  Val: 0.001833
[Epoch 001] Train: 0.073932  Val: 0.000924
[Epoch 002] Train: 0.000530  Val: 0.000873
[Epoch 003] Train: 0.000203  Val: 0.000890
[Epoch 004] Train: 0.000117  Val: 0.000888
[Epoch 005] Train: 0.000082  Val: 0.000912
[Epoch 006] Train: 0.000069  Val: 0.000882
[Epoch 007] Train: 0.000063  Val: 0.000857
[Epoch 008] Train: 0.000057  Val: 0.000868
[Epoch 009] Train: 0.000054  Val: 0.000824
[Epoch 010] Train: 0.000051  Val: 0.000791
[Epoch 001] Train: 0.021802  Val: 0.000100
[Epoch 002] Train: 0.000126  Val: 0.000076
[Epoch 003] Train: 0.000073  Val: 0.000071
[Epoch 004] Train: 0.000054  Val: 0.000071
[Epoch 005] Train: 0.000045  Val: 0.000071
[Epoch 006] Train: 0.000041  Val: 0.000068
[Epoch 007] Train: 0.000037  Val: 0.000073
[Epoch 008] Train: 0.000036  Val: 0.000078
[Epoch 009] Train: 0.000035  Val: 0.000071
[Epoch 010] Train: 0.000037  Val: 0.000071
Params: hidden=[64, 32], dropout=0.2, lr=0.001, batch=256 → 0.000793
[Epoch 001] Train: 0.056907  Val: 0.002523
[Epoch 002] Train: 0.000652  Val: 0.002076
[Epoch 003] Train: 0.000126  Val: 0.001977
[Epoch 004] Train: 0.000069  Val: 0.001606
[Epoch 005] Train: 0.000056  Val: 0.001600
[Epoch 006] Train: 0.000050  Val: 0.001561
[Epoch 007] Train: 0.000045  Val: 0.001424
[Epoch 008] Train: 0.000038  Val: 0.001371
[Epoch 009] Train: 0.000033  Val: 0.001309
[Epoch 010] Train: 0.000029  Val: 0.001223
[Epoch 001] Train: 0.060502  Val: 0.001027
[Epoch 002] Train: 0.000414  Val: 0.000867
[Epoch 003] Train: 0.000121  Val: 0.000915
[Epoch 004] Train: 0.000059  Val: 0.000930
[Epoch 005] Train: 0.000049  Val: 0.000878
[Epoch 006] Train: 0.000041  Val: 0.000759
[Epoch 007] Train: 0.000034  Val: 0.000709
[Epoch 008] Train: 0.000030  Val: 0.000673
[Epoch 009] Train: 0.000027  Val: 0.000636
[Epoch 010] Train: 0.000025  Val: 0.000660
[Epoch 001] Train: 0.164557  Val: 0.000828
[Epoch 002] Train: 0.000584  Val: 0.000114
[Epoch 003] Train: 0.000157  Val: 0.000112
[Epoch 004] Train: 0.000069  Val: 0.000105
[Epoch 005] Train: 0.000035  Val: 0.000087
[Epoch 006] Train: 0.000028  Val: 0.000069
[Epoch 007] Train: 0.000025  Val: 0.000065
[Epoch 008] Train: 0.000022  Val: 0.000067
[Epoch 009] Train: 0.000020  Val: 0.000065
[Epoch 010] Train: 0.000020  Val: 0.000062
Params: hidden=[64, 32], dropout=0.2, lr=0.0005, batch=128 → 0.000640
[Epoch 001] Train: 0.094116  Val: 0.013209
[Epoch 002] Train: 0.002798  Val: 0.001424
[Epoch 003] Train: 0.000479  Val: 0.001340
[Epoch 004] Train: 0.000219  Val: 0.001329
[Epoch 005] Train: 0.000139  Val: 0.001324
[Epoch 006] Train: 0.000120  Val: 0.001371
[Epoch 007] Train: 0.000094  Val: 0.001283
[Epoch 008] Train: 0.000085  Val: 0.001171
[Epoch 009] Train: 0.000079  Val: 0.001085
[Epoch 010] Train: 0.000073  Val: 0.001025
[Epoch 001] Train: 0.116126  Val: 0.002233
[Epoch 002] Train: 0.002068  Val: 0.001040
[Epoch 003] Train: 0.000512  Val: 0.000918
[Epoch 004] Train: 0.000213  Val: 0.000893
[Epoch 005] Train: 0.000137  Val: 0.000873
[Epoch 006] Train: 0.000131  Val: 0.000830
[Epoch 007] Train: 0.000079  Val: 0.000834
[Epoch 008] Train: 0.000072  Val: 0.000784
[Epoch 009] Train: 0.000063  Val: 0.000790
[Epoch 010] Train: 0.000062  Val: 0.000786
[Epoch 001] Train: 0.205992  Val: 0.008930
[Epoch 002] Train: 0.002541  Val: 0.003838
[Epoch 003] Train: 0.000585  Val: 0.002117
[Epoch 004] Train: 0.000273  Val: 0.001296
[Epoch 005] Train: 0.000156  Val: 0.000701
[Epoch 006] Train: 0.000103  Val: 0.000422
[Epoch 007] Train: 0.000073  Val: 0.000227
[Epoch 008] Train: 0.000061  Val: 0.000144
[Epoch 009] Train: 0.000055  Val: 0.000100
[Epoch 010] Train: 0.000052  Val: 0.000078
Params: hidden=[64, 32], dropout=0.2, lr=0.0005, batch=256 → 0.000629
[Epoch 001] Train: 0.010165  Val: 0.078246
[Epoch 002] Train: 0.003509  Val: 0.021388
[Epoch 003] Train: 0.001057  Val: 0.082628
